Universidad,Curso,Genero,Valor
A Coruña, "2016-2017", Total, 1221
A Coruña, "2016-2017", Mujeres, 169
A Coruña, "2015-2016", Total, 1380
A Coruña, "2015-2016", Mujeres, 188
A Coruña, "2014-2015", Total, 1477
A Coruña, "2014-2015", Mujeres, 212
A Coruña, "2013-2014", Total, 1548
A Coruña, "2013-2014", Mujeres, 231
A Coruña, "2012-2013", Total, 1552
A Coruña, "2012-2013", Mujeres, 226
A Coruña, "2011-2012", Total, 1586
A Coruña, "2011-2012", Mujeres, 258
A Coruña, "2010-2011", Total, 1678
A Coruña, "2010-2011", Mujeres, 274
A Coruña, "2009-2010", Total, 1827
A Coruña, "2009-2010", Mujeres, 316
A Coruña, "2008-2009", Total, 1679
A Coruña, "2008-2009", Mujeres, 279
A Coruña, "2007-2008", Total, 1825
A Coruña, "2007-2008", Mujeres, 351
A Coruña, "2006-2007", Total, 1990
A Coruña, "2006-2007", Mujeres, 416
A Coruña, "2005-2006", Total, 2090
A Coruña, "2005-2006", Mujeres, 443
A Coruña, "2004-2005", Total, 2137
A Coruña, "2004-2005", Mujeres, 491
A Coruña, "2003-2004", Total, 2371
A Coruña, "2003-2004", Mujeres, 551
A Coruña, "2002-2003", Total, 2304
A Coruña, "2002-2003", Mujeres, 548
A Coruña, "2001-2002", Total, 2161
A Coruña, "2001-2002", Mujeres, 506
A Coruña, "2000-2001", Total, 2059
A Coruña, "2000-2001", Mujeres, 458
A Coruña, "1999-2000", Total, 1896
A Coruña, "1999-2000", Mujeres, 407
A Coruña, "1998-1999", Total, 1792
A Coruña, "1998-1999", Mujeres, 406
A Coruña, "1997-1998", Total, 1724
A Coruña, "1997-1998", Mujeres, 397
A Coruña, "1996-1997", Total, 1659
A Coruña, "1996-1997", Mujeres, 396
A Coruña, "1995-1996", Total, 1561
A Coruña, "1995-1996", Mujeres, 385
A Coruña, "1994-1995", Total, 1444
A Coruña, "1994-1995", Mujeres, 380
A Coruña, "1993-1994", Total, 1318
A Coruña, "1993-1994", Mujeres, 391
A Coruña, "1992-1993", Total, 1260
A Coruña, "1992-1993", Mujeres, 331
A Coruña, "1991-1992", Total, 1216
A Coruña, "1991-1992", Mujeres, 307
A Coruña, "1990-1991", Total, 1110
A Coruña, "1990-1991", Mujeres, 323
A Coruña, "1989-1990", Total, 912
A Coruña, "1989-1990", Mujeres, 273
Alcalá, "2016-2017", Total, 651
Alcalá, "2016-2017", Mujeres, 95
Alcalá, "2015-2016", Total, 677
Alcalá, "2015-2016", Mujeres, 106
Alcalá, "2014-2015", Total, 699
Alcalá, "2014-2015", Mujeres, 118
Alcalá, "2013-2014", Total, 865
Alcalá, "2013-2014", Mujeres, 160
Alcalá, "2012-2013", Total, 915
Alcalá, "2012-2013", Mujeres, 163
Alcalá, "2011-2012", Total, 937
Alcalá, "2011-2012", Mujeres, 160
Alcalá, "2010-2011", Total, 1017
Alcalá, "2010-2011", Mujeres, 178
Alcalá, "2009-2010", Total, 1195
Alcalá, "2009-2010", Mujeres, 209
Alcalá, "2008-2009", Total, 1197
Alcalá, "2008-2009", Mujeres, 219
Alcalá, "2007-2008", Total, 1347
Alcalá, "2007-2008", Mujeres, 264
Alcalá, "2006-2007", Total, 1504
Alcalá, "2006-2007", Mujeres, 289
Alcalá, "2005-2006", Total, 1648
Alcalá, "2005-2006", Mujeres, 314
Alcalá, "2004-2005", Total, 1674
Alcalá, "2004-2005", Mujeres, 341
Alcalá, "2003-2004", Total, 1612
Alcalá, "2003-2004", Mujeres, 327
Alcalá, "2002-2003", Total, 1421
Alcalá, "2002-2003", Mujeres, 307
Alcalá, "2001-2002", Total, 1081
Alcalá, "2001-2002", Mujeres, 248
Alcalá, "2000-2001", Total, 956
Alcalá, "2000-2001", Mujeres, 214
Alcalá, "1999-2000", Total, 770
Alcalá, "1999-2000", Mujeres, 402
Alcalá, "1998-1999", Total, 708
Alcalá, "1998-1999", Mujeres, 170
Alcalá, "1997-1998", Total, 573
Alcalá, "1997-1998", Mujeres, 149
Alcalá, "1996-1997", Total, 487
Alcalá, "1996-1997", Mujeres, 140
Alcalá, "1995-1996", Total, 465
